color,r,g,b,l
big blue,25.8,41.6,72,5.4
big blue,26,42,72.4,5.6
big blue,26,42,72.6,5.4
big blue,29.6,48,78.2,6.2
big blue,29.4,48.8,79,6
big blue,30.2,50,79.8,6.6
big blue,32,52.4,82,7
big blue,31.8,52.2,82.4,7
big blue,30,48.2,80,6.2
big blue,31.2,51.6,85.8,7
big blue,31.2,52,86.4,7
big blue,31.4,52.2,86.2,7
big blue,24.4,39.8,68.8,5
big blue,27.2,45.4,74.4,6
big green,24.6,48.2,18.6,5
big green,24.6,47.8,18.6,5
big green,23.6,46.6,17.4,5
big green,44,96.4,31.8,10
big green,44,96.4,30,10
big green,43.6,95,31,9.8
big green,43.8,94.4,31.6,9.6
big green,44.6,95.8,31.8,10
big green,43.8,96.6,32,10
big green,50,104.8,37,11
big green,23.2,42.8,17.6,5
big green,21.6,42,15.4,4.8
big green,44.4,95.6,32.4,10
big green,45,96,32.8,10
big green,43.4,94,32,9.6
big green,43.2,94,31.8,9.8
big green,44,95.4,30.4,10
big red,69,22,12.6,15
big red,69,22.2,12.6,15
big red,86.8,24.4,14.2,19.8
big red,86.4,24.2,14.6,19.6
big red,70.4,21.6,11.8,16
big red,69.8,21.4,11.6,15.6
big red,83.4,23,12.6,19
big red,72,22.8,12.8,16
big red,89.8,24.4,13,20
big red,70.8,22.6,12,16
big red,70.4,22.2,12,16
big red,70.2,22.6,12,15.8
big white,199.6,227.8,181.4,45
big white,199.6,228.2,181.4,45
big white,199.2,228,181.2,45
big white,205,233.8,185.6,46
big white,204.6,233.4,185.2,46
big white,205,233.4,185.4,46
big white,181.2,210.8,168.4,41
big white,181.8,212.2,168.6,41
big white,181.4,211.6,168.8,41
big white,197.2,226.6,178.8,45
big white,197.2,226.6,178.6,44.8
big white,197.4,227.2,179,44.6
big white,198,228.2,181,45
big white,198.6,228.6,181,45
big white,197.6,228.4,181.6,45
big yellow,180.2,108.4,21.4,40.6
big yellow,180.4,100,20.2,41
big yellow,173.4,103.8,21.6,39
big yellow,171,103.6,25.6,38.4
big yellow,163.6,115.4,28.6,37
big yellow,162.6,109.6,25.4,37
big yellow,168.6,100,19,38
big yellow,168.6,97.8,19.4,38
big yellow,176.2,103,21.2,40
big yellow,176.4,101.8,21.4,40
big yellow,178,105.4,21.8,40
big yellow,164.4,115.2,27,37
big yellow,173,104,21.2,39
big yellow,171.8,99,19.4,38.6
big yellow,178.8,102,20.8,40
hdpe,76,95.4,65,17
hdpe,76,95.6,64.8,17
hdpe,76.4,96,65.2,17
hdpe,76.8,96,65.4,17
hdpe,59.4,74,50.6,13
hdpe,71,89.4,60,16
hdpe,77.6,96.8,65.8,17
hdpe,76.4,95,64.4,17
hdpe,76,95.8,64.8,17
hdpe,76.4,96.8,66.2,17
hdpe,73.6,93.4,64,16.4
hdpe,74.2,94.2,64.2,16.8
hdpe,75.4,95.2,64.6,17
hdpe,74.4,94.6,64.2,16.8
hdpe,70.6,86.6,56.4,15.6
hdpe,70.6,85.8,56.2,15.2
hdpe,62.6,77,51.2,14.4
hdpe,70,86.4,57,15.8
small blue,23.6,34.6,44.4,5
small blue,23.2,34.4,44,5
small blue,23.2,34.2,44,5
small blue,29,45.8,57.4,6
small blue,28.4,45.4,57.4,6
small blue,28.2,44.8,55.2,6
small blue,19.2,26.4,25.8,4
small blue,19,25.4,24.4,4
small blue,19.6,26,24.4,4
small blue,22.4,34.4,41.2,5
small blue,22.8,34.4,41.8,5
small blue,24.8,39,49.8,5
small blue,24.6,37.6,47.8,5
small blue,18.2,23.8,21.4,4
small green,24.4,43.8,13,5
small green,25.2,45.2,13.8,5.4
small green,27.8,53.4,15.8,6
small green,23.4,43.6,14,5
small green,21.8,36.4,11.8,5
small green,24.6,44.8,13.8,5
small green,27.8,52.2,15.8,6
small green,24.4,42.8,13.8,5
small green,36.2,73.8,21.4,8
small green,31.8,62,19.4,7
small green,25.6,48.2,14.4,5.2
small green,24.8,44,14,5
small green,27.4,52.2,16,6
small green,24.2,43.6,14,5
small green,33.6,71,20.2,7
small green,41.4,82.2,25.2,9
small red,59.8,20.6,9.4,13.4
small red,60.2,21,10,13
small red,59.8,21,10.2,13
small red,46.4,19.4,9.4,10
small red,46.4,19.4,9.4,10
small red,46.2,19.2,9.4,10
small red,55,19.8,9.2,12
small red,55,19.8,9.4,12
small red,66.8,20.6,9.6,15
small red,67.4,20.6,9.8,14.8
small red,46.2,20,9.2,10
small red,46,19.8,9.4,10
small white,137.6,169.8,109,31
small white,137.8,169.6,108.8,31
small white,119.4,150.8,93,27
small white,119.6,150,93.2,27
small white,122.8,153.4,91.6,27.4
small white,123.4,153.4,91.4,27.6
small white,123.6,153.8,91.6,27.6
small white,131.6,163,101.6,30
small white,131.8,164.2,102,29.8
small white,132,163.4,102,29.6
small white,135.8,167.4,105.4,30.4
small white,125.2,154.2,92.8,28
small white,120,150.2,93.4,27
small white,106.4,133,87.6,24
small yellow,131.2,103.2,15.2,30
small yellow,133.6,101.4,15.4,30
small yellow,134.8,105.2,15.8,30
small yellow,126.4,98.2,14.6,29.2
small yellow,134,102.6,15,30
small yellow,133.8,102,14.8,30
small yellow,123.6,95,17.8,28
small yellow,124.8,96,18.8,28
small yellow,124.4,95.8,18,28
small yellow,127.4,95.6,16,28.6
small yellow,127.4,95.8,16.4,28.6
small yellow,127.8,98.4,19,29
small yellow,127.4,98.4,18.8,28.8
small yellow,135.8,106.6,16.6,30.2
small yellow,132.6,99.8,15.4,30
steel,53.8,72,30.4,12
steel,47.8,61.6,26.8,10.6
steel,48.2,66.4,26.6,10.6
steel,47.8,62,27,10.4
steel,47.8,61.8,26.8,10.6
steel,47.6,62.2,26.6,10.2
steel,52.8,66.6,28.2,12
steel,53.4,67.2,29.2,12
steel,51.6,64.6,27,11
steel,51.4,64.4,26.6,11
steel,56.4,74.4,30.2,12
steel,56.4,74.8,30.2,12
steel,46.2,59.4,26.6,10
steel,46.2,60.2,25.8,10
steel,53.2,66,28.2,12
steel,52.6,65.6,28,12
