color,r,g,b,l
big blue,23.4,33,60,5
big blue,27.8,38.8,64.2,6
big blue,27,38.2,63.8,6
big blue,27.2,38.2,63.6,6
big blue,27.2,38.8,63.6,6
big blue,27,41.2,85.2,6
big blue,27.6,41.4,85.6,6
big blue,23.8,32.8,56.8,5.2
big blue,23.4,32.4,56.4,5
big blue,23.8,32.4,56.6,5
big blue,28.2,42.2,80,6
big blue,28.2,42,79.8,6
big blue,28.6,42.4,80.4,6
big blue,22.6,29,45.8,5
big blue,28.8,44.6,91.8,6
big blue,35.6,56.4,104,8
big blue,35.6,56.4,103.4,8
big blue,24.4,34,60.6,5
big blue,24.6,34,61,5
big blue,24.4,34.2,60.8,5
big blue,24.6,34.6,60.6,5
big blue,25.6,38.6,75.6,5.2
big blue,25.4,38.6,76.2,5
big blue,25,35.6,64.6,5
big blue,24.6,35.4,64.2,5
big blue,24.8,35.6,64,5.2
big blue,27.2,42.2,84.4,6
big green,41.8,86.8,33,9
big green,42,87.2,33.6,9
big green,20.2,30.4,15.2,4.4
big green,20.6,30,15.6,4.4
big green,20.8,29.8,15.6,4.2
big green,32.8,64.6,24.6,7
big green,33.2,64.6,24.6,7
big green,32.8,64.2,24.6,7
big green,46.2,94.4,36.6,10
big green,46.2,93.6,36.8,10
big green,46.4,94.2,36.8,10
big green,31,56.4,22.4,7
big green,31,55.8,22.2,7
big green,41.8,88,33.6,9
big green,20.2,30.2,15,4
big green,18.2,29,13.4,4
big green,18.8,28.8,13.8,4
big green,18.8,28.8,13.8,4
big green,18.6,28.8,13.4,4
big green,18.4,29.2,13,4
big green,43,89.6,32.6,9.6
big green,43.4,89.2,32.6,9.4
big green,43.2,89.2,32.2,9.4
big green,43.4,89.4,32.6,9.6
big green,42.6,86.6,35.4,9
big green,42,86.2,34.6,9
big green,42,86.2,34.8,9
big red,93.2,19.4,15.2,21
big red,73.2,16.4,13.8,16.6
big red,74.4,17.4,13.8,17
big red,74.2,17.2,13.4,17
big red,74,17.4,13.8,17
big red,55.8,15.2,11.8,12.2
big red,75.4,17.8,14.8,17
big red,61.4,16,12.4,14
big red,74,16.8,13.4,17
big red,74.4,16.4,13.4,17
big red,74.4,16.6,13.4,17
big red,74.2,17,13.6,17
big red,89,18.4,15.6,20
big red,89.4,18.2,16.4,20
big red,89.4,18.4,15.8,20
big red,58.2,15.4,12.4,13
big red,69.8,17.2,13.6,15.4
big red,69.6,17.8,14,15.6
big red,69.6,17.2,13.8,15.6
big white,149.4,160.4,135.4,33.6
big white,149.4,160.2,134.8,34
big white,129.4,144.4,123.6,29
big white,129.8,144.6,124,29
big white,130,145,124.2,29
big white,129.6,145,124,29
