color,r,g,b,l
big blue,42.2,57.8,64.8,9
big blue,41.8,57.6,64.4,9
big blue,42,57.6,64.4,9
big blue,42.4,58.4,64.8,9
big blue,45.4,63,70.4,10
big blue,48,67.8,75,10.6
big blue,48.2,67.8,75.6,10.6
big blue,48.2,67.6,75.2,11
big blue,48.2,67.6,75.4,10.8
big blue,42.8,59.4,66.2,9.4
big blue,43.4,59.8,66.6,9.6
big blue,42.8,59.8,66.6,9.6
big blue,41.8,57.8,63.8,9
big blue,42.8,59.8,69.6,9.4
big blue,43.2,60.2,69.8,9.4
big blue,44.4,61.2,69,10
big blue,44.8,62,69.2,10
big blue,44.6,61.4,68.8,10
big blue,46.4,64.6,72.8,10
big blue,46,64.4,72.8,10
big blue,46,64.6,72.4,10
big blue,46.4,64.8,72.6,10
big blue,44.6,60.8,65.8,10
big blue,44.6,60.8,65.8,10
big blue,44.6,61.2,65.6,10
big blue,44.4,60.6,65.6,10
big green,56.6,97.8,32.6,12
big green,56.2,97.6,32.4,12
big green,56,97.6,32.4,12
big green,56.2,97.8,32.2,12
big green,57.8,101.2,34.8,13
big green,36.6,54.6,15.8,8
big green,36.8,54.4,15.6,8
big green,37,54.6,15.8,8
big green,37,54.6,15.8,8
big green,54,93.8,29.6,12
big green,54,94.2,29.4,12
big green,50.8,88.8,26,11
big green,54.2,95.4,30.4,12
big green,54.4,95.4,30.4,12
big green,53.2,94,28.2,12
big green,53.4,93.8,28,12
big green,53.8,94.2,28.6,12
big green,35.4,52.4,15,8
big green,35.6,52.4,15.2,8
big green,53.6,94.2,29.4,12
big green,53.4,94.6,29.2,12
big green,37.6,55,16.4,8
big green,37.4,54.4,15.4,8
big green,37.8,54.8,15.8,8
big green,37.4,55,16.2,8
big red,88.2,57.4,15.8,20
big red,88,57.6,15.8,20
big red,88,57.6,15.8,20
big red,88.2,57.4,16,20
big red,84.2,57,15.8,19
big red,83.6,56.4,15.2,19
big red,84.4,57,15.8,19
big red,93.6,58.6,16.4,21
big red,83.2,56,14.6,18.8
big red,83.4,56.4,14.8,18.8
big red,83,55.8,14.4,19
big red,83,56,14.6,19
big red,84.2,56.6,15.2,19
big red,83.6,56.2,14.6,19
big red,84.4,57,15.6,19
big red,84,56.8,15.4,19
big red,80.6,55,15,18
big red,80.8,55.2,15.4,18
big red,81.6,55.2,15.6,18
big red,95,57.6,16.2,21
big red,94.6,57.2,16,21
big red,94.8,57.2,15.8,21
big red,94.6,57,15.8,21
big white,163.2,177.8,137.4,37
big white,163.2,178,137.6,37
big white,162.8,177.6,137,37
big white,163.2,177.6,137.2,37
big white,163,178,137.2,36.8
big white,163,177.8,137.4,37
big white,157.2,170,130,35
big white,157.4,170.2,130.2,35.2
big white,157.6,170.4,130.8,35.2
big white,157.6,170.2,130.4,35.2
big white,158,170.2,130.4,35.2
big white,157.2,169.8,130,35.6
big white,157.4,170.2,130.4,35.4
big white,157,168.8,125.4,35
big white,163,175.8,133.6,37
big white,163,176,133.6,37
big white,163.2,175.8,133.6,37
big white,163.2,176.2,133.6,37
big white,163,176.2,133.8,37
big white,162.8,176.2,133.6,37
big white,163,175.8,133.4,37
big white,157.8,170.2,130,35.6
big white,158.2,170.4,130.4,35.4
big white,158,170.2,130,35.8
big white,158,170.4,130.2,35.4
big white,158.4,170.6,130.2,35.4
big white,161,172.2,132,36.4
big yellow,154.8,96.4,19,35
big yellow,154.6,96.6,19.2,35
big yellow,154.8,97,19.4,35
big yellow,154.4,97.2,19.4,35
big yellow,138.8,106.8,26.8,31
big yellow,155.8,95,20.4,35
big yellow,155.2,94.6,20,35
big yellow,155.8,95.4,21,35
big yellow,157.2,100,21,35.2
big yellow,158,100.4,21.6,35.2
big yellow,152.8,99.8,21.4,34.4
big yellow,154.8,100.4,20.6,35
big yellow,154.4,100,20.2,35
big yellow,157.8,99.4,21.8,35.8
big yellow,134.6,104,25.8,30
big yellow,134,103.8,25,30
big yellow,134.4,104.4,25.8,30
big yellow,134,104,25.6,30
big yellow,154.4,96,19.6,35
big yellow,154.4,96.2,19.4,35
hdpe,85.8,99.8,59.4,19
hdpe,85.6,99.8,59.6,19
hdpe,85.6,100.2,59.2,19
hdpe,85.6,100.4,59.6,19
hdpe,85.4,99.6,58.8,19
hdpe,85.2,100,59,19
hdpe,42,48.6,12.2,9
hdpe,42,48.8,12.2,9
hdpe,57.8,64.8,29.8,12.8
hdpe,91.4,107,65.6,20
hdpe,91.6,107.4,65.8,20
hdpe,91.2,107.4,65.8,20
hdpe,91,107,65.4,20
hdpe,91.4,107.4,65.4,20
hdpe,85.6,100.2,59.2,19.2
hdpe,85.6,100.2,59.2,19
hdpe,91.2,107.4,65.8,20
hdpe,91,107.2,66,20
hdpe,91.2,107,66,20
hdpe,90.8,107,65.6,20
hdpe,91.2,107.6,65.8,20
small blue,62.8,74.2,53,14
small blue,62.8,74,53.2,14
small blue,63,74,53.2,14
small blue,62.6,74.4,53.2,14
small blue,54.2,60.4,28.4,12
small blue,54,60.8,28.2,12
small blue,58.6,71.2,54,13
small blue,58.2,70,51.2,13
small blue,58.2,69.8,51,13
small blue,58.2,70,50.6,13
small blue,52.2,59,28.6,12
small blue,56.4,68.4,50.8,12
small blue,56,68.8,51,12.2
small blue,50.8,57.2,26.2,11
small blue,50.6,57.4,26.2,11
small blue,51.2,58,26.8,11
small blue,50.2,57.4,26.2,11
small blue,56.2,71,58.8,12
small blue,56,71,58.8,12
small blue,56.2,71.2,58.8,12
small blue,56,71.2,59,12
small green,54,95,27,12
small green,54.2,95,27.4,12
small green,54.2,95,27.2,12
small green,54.8,95.2,27.6,12
small green,40.4,65.4,17.2,9
small green,40,65.2,17.2,9
small green,40.4,65.4,17,9
small green,40.2,65,17,9
small green,42,67.8,18.6,9
small green,41.6,68,18.4,9
small green,49.8,85.4,24,11
small green,49.6,85.6,24,11
small green,49.8,85.8,24,11
small green,43.2,71.8,20,9.4
small green,50.8,88.6,24.8,11
small green,41.6,66,18,9
small green,41.4,66.2,18,9
small green,42,66.2,18.4,9
small green,43.6,72.4,19.8,10
small green,43.6,72,19.8,10
small green,43,71.8,19.8,9.8
small green,43.6,72.4,20.4,10
small red,75,47.2,13.6,17
small red,75.2,47.4,13.8,17
small red,74.8,47.2,13.4,17
small red,86.4,46.8,13.2,19.2
small red,69,43.4,11,15
small red,69.6,44.2,12,15
small red,69.8,44.2,11.6,26.2
small red,87.8,46,13.8,20
small red,82.2,44.2,13.2,18
small red,81.2,43.8,12.4,18
small red,86.2,43.8,13.2,19
small red,74.2,44,13.8,16.6
small red,86.4,44.8,13.2,19.2
small red,86.6,44.8,13.4,19
small red,86.4,44.8,13.2,19
small red,86.2,44.8,13,19
small red,69.6,42.6,12.6,15.4
small red,69.2,42.4,12.4,15.4
small red,69.8,42.8,12.8,15.6
small red,86.4,43.8,13,19
small red,86,43.6,12.8,19.4
small white,152,180,117.6,34.4
small white,152.8,180,117.2,34.6
small white,137,165.2,112.8,31
small white,137,165.4,112.6,31
small white,136.4,165,112,30.8
small white,143.4,171.2,116,32.2
small white,143.6,171.4,116,32
small white,143.4,171.4,116.2,32.4
small white,152.8,180,123,34.4
small white,153,180.4,123.6,34.6
small white,153,180.2,123.6,34.4
small white,152.6,179.8,123,34.2
small white,145.6,174.8,117.8,33
small white,145.6,175,117.6,33
small white,122.4,149,101,27
small white,122.4,148.8,101,27
small white,122.4,149.2,101.6,27
small white,154.6,181,125.2,35
small white,154.2,180.4,125,35
small white,154.4,180.6,125.2,35
small yellow,139,115.4,24.2,31
small yellow,139.2,115.8,24.2,31
small yellow,139,115.8,24,31
small yellow,141.4,113.4,19.2,32
small yellow,144.4,117.2,19,33
small yellow,144.4,117.6,19,33
small yellow,144.2,117.4,19.2,33
small yellow,140.6,113,22.4,32
small yellow,140.4,112.8,22,32
small yellow,146.6,115.8,20,33
small yellow,146,115.4,19.8,33
small yellow,146,115.6,19.4,33
small yellow,137.4,114.4,25.6,31
small yellow,137.8,114.6,25.6,31
small yellow,137.2,114.6,25.2,31
small yellow,152,124.6,21.2,34
small yellow,152,124.6,21,34
small yellow,151.8,124.4,21.2,34.2
small yellow,141.8,113.2,22,32
small yellow,141.2,113,21.8,32
steel,62.6,73.2,33.2,14
steel,63,73,33.4,14
steel,63,73.4,33.8,14
steel,63,73.2,34,14
steel,64.6,75,34,14.4
steel,64.6,75,34,14
steel,64.8,75.6,34.2,14.2
steel,64.6,75,34,14.4
steel,72,84.8,40.6,16
steel,71.8,84.2,40,16
steel,71.8,84.4,40.2,16
steel,54.4,67.2,28.8,12
steel,64.6,76.6,38.2,14
steel,64.4,73,35.6,14
steel,64,73,35.6,14
steel,64.4,76.4,34.4,14
steel,64.2,76,34,14
steel,63.8,75.8,34,14
steel,64.2,75.8,34.2,14
steel,60.2,72.8,31.8,13
steel,60,72,30.8,13
zground,45.4,50.8,12.8,10
zground,45.2,50.8,12.8,10
zground,45.6,51,13,10
zground,45.4,51,12.8,10
zground,45,50.8,12.8,10
zground,45,50.8,12.8,10
zground,44.8,50.6,12.6,10
zground,44.8,50.8,12.8,10
zground,45,51,13,10
zground,44.8,50.8,12.8,10
zground,44.8,50.8,12.8,10
zground,45.2,50.8,13,10
zground,44.6,50.6,12.6,10
zground,44.8,50.8,12.8,10
zground,44.6,50.6,12.6,10
zground,44.6,50.4,12.6,10
zground,44.8,50.6,13,10
zground,44.8,50.6,12.8,10
zground,44.8,50.8,12.8,10
zground,44.6,50.6,12.6,10
zground,44.8,50.8,12.8,10
zground,45,50.8,13,10
