color,r,g,b,l
big blue,25.8,41.6,72,5.4
big blue,26,42,72.4,5.6
big blue,26,42,72.6,5.4
big blue,29.6,48,78.2,6.2
big blue,29.4,48.8,79,6
big blue,30.2,50,79.8,6.6
big blue,32,52.4,82,7
big blue,31.8,52.2,82.4,7
big blue,30,48.2,80,6.2
big blue,31.2,51.6,85.8,7
big blue,31.2,52,86.4,7
big blue,31.4,52.2,86.2,7
big blue,24.4,39.8,68.8,5
big blue,27.2,45.4,74.4,6
big green,19.4,36.2,16.8,4
big green,19.6,36.2,17,4
big green,44,95,32.6,9.8
big green,44.8,95.2,33,10
big green,44.2,95,32.6,10
big green,50.2,105.6,38.2,11
big green,50.6,106.2,38.4,11
big green,50.4,106,38.2,11
big green,46.6,100.6,35.2,10
big green,47,101.2,35.6,10
big green,46.8,101.2,35.6,10
big green,47,101.2,35.8,10
big green,20.4,38,18,4
big green,20.2,38,18,4
big green,20.4,38,18,4
big green,20.2,37.8,18.2,4
big green,44.6,95.6,33.6,10
big green,44.4,96,33.6,10
big green,44.2,95.8,33.6,10
big green,41.6,87.8,30.8,9
big green,48.4,101,36.8,11
big green,20.6,37.2,17,4.2
big green,20.4,36.8,16.6,4
big green,23.2,41.4,19.6,5
big green,22.8,41.2,19.4,5
big green,22.6,41,19.2,5
big green,23,41.2,19.4,5
big green,43.6,95.2,33.2,10
big green,44,95.2,33.4,10
big green,45.4,96.8,32.6,10
big green,45.6,97.2,33,10
big green,45.4,97.6,32.8,10
big green,45.6,97.6,32.8,10
big green,46.6,100,35.4,10
big red,86.8,19.8,14.6,19.2
big red,86.6,19.8,14.4,19.2
big red,86.4,19.8,14.2,19.4
big red,86.2,19.6,14,19.6
big red,96.8,21.8,15.6,22
big red,78,19.2,13.6,17.2
big red,78.2,19.4,13.6,17.2
big red,78.4,19.8,13.8,17
big red,78.2,19.4,13.6,17
big red,76,19.2,13.6,17
big red,75.8,19.2,13.4,17
big red,75.4,19.2,13.2,17
big red,75.8,19.6,13.8,17
big red,75.4,19.6,14,17
big red,75.6,19.4,14.4,17
big red,69,17.6,12.8,15
big red,69,17.2,12.8,15
big red,69,17.2,12.2,15
big red,69,17.4,12.8,15
big red,71.8,19,13.4,16
big red,76.8,19.4,14.2,17
big red,76.2,19.2,14.2,17
big red,85.8,19.8,14.8,19
big red,86,19.6,14.6,19
big red,85.6,18.8,14.2,19
big red,86.2,19.6,14.6,19
big red,74.6,19.2,14.2,17
big red,74.2,19.4,14.2,17
big red,74.6,19.4,14.4,17
big red,74.4,19.4,14.2,17
big red,91.8,21.4,14.8,20.6
big red,91.4,21.6,15,20.8
big red,92,21.6,15.2,20.8
big red,91.8,21.6,14.8,20.8
big red,73,19.2,13,16.2
big red,73.2,19.4,13,16.4
big red,73.4,19.4,13,16
big white,199.6,227.8,181.4,45
big white,199.6,228.2,181.4,45
big white,199.2,228,181.2,45
big white,205,233.8,185.6,46
big white,204.6,233.4,185.2,46
big white,205,233.4,185.4,46
big white,181.2,210.8,168.4,41
big white,181.8,212.2,168.6,41
big white,181.4,211.6,168.8,41
big white,197.2,226.6,178.8,45
big white,197.2,226.6,178.6,44.8
big white,197.4,227.2,179,44.6
big white,198,228.2,181,45
big white,198.6,228.6,181,45
big white,197.6,228.4,181.6,45
big yellow,193.2,106.2,24,44
big yellow,193.6,106,23.8,44
big yellow,157.8,98,24.4,35.6
big yellow,161,100,25.4,36.6
big yellow,193.2,107.4,23.6,44
big yellow,193,107,23.6,43.8
big yellow,192.8,107.4,23.8,44
big yellow,192.8,107.2,23.8,43.4
big yellow,184.8,97.8,20.2,42
big yellow,184.4,97.4,20.2,42
big yellow,184.4,97.6,20,42
big yellow,184,97.2,20,42
big yellow,163.8,91,21.4,37
big yellow,189.4,101.2,24.2,43
big yellow,189.4,101.6,24.4,43
big yellow,187.2,106.2,22.6,42
big yellow,187.4,106.4,22.8,42
big yellow,183.4,99.8,21.4,41.4
big yellow,183,100,21.4,41
big yellow,183.4,100.2,21.4,41
big yellow,173.8,114.4,31,39
big yellow,173.4,114,30.6,39
big yellow,173.6,114.4,30.8,39
big yellow,175,96.2,21.8,40
big yellow,174.8,96,21.6,40
big yellow,175.2,96.2,21.6,40
big yellow,175.4,96.4,22.2,39.8
hdpe,76,95.4,65,17
hdpe,76,95.6,64.8,17
hdpe,76.4,96,65.2,17
hdpe,76.8,96,65.4,17
hdpe,59.4,74,50.6,13
hdpe,71,89.4,60,16
hdpe,77.6,96.8,65.8,17
hdpe,76.4,95,64.4,17
hdpe,76,95.8,64.8,17
hdpe,76.4,96.8,66.2,17
hdpe,73.6,93.4,64,16.4
hdpe,74.2,94.2,64.2,16.8
hdpe,75.4,95.2,64.6,17
hdpe,74.4,94.6,64.2,16.8
hdpe,70.6,86.6,56.4,15.6
hdpe,70.6,85.8,56.2,15.2
hdpe,62.6,77,51.2,14.4
hdpe,70,86.4,57,15.8
small blue,23.6,34.6,44.4,5
small blue,23.2,34.4,44,5
small blue,23.2,34.2,44,5
small blue,29,45.8,57.4,6
small blue,28.4,45.4,57.4,6
small blue,28.2,44.8,55.2,6
small blue,19.2,26.4,25.8,4
small blue,19,25.4,24.4,4
small blue,19.6,26,24.4,4
small blue,22.4,34.4,41.2,5
small blue,22.8,34.4,41.8,5
small blue,24.8,39,49.8,5
small blue,24.6,37.6,47.8,5
small blue,18.2,23.8,21.4,4
small green,26.8,49.6,18.4,6
small green,26.8,49.6,18.4,6
small green,25.8,51,17.8,5
small green,25.8,51.2,17.8,5.2
small green,25.4,50.8,17.4,5
small green,25.6,51,17.6,5.4
small green,23.2,42.8,15.2,5
small green,23.4,42.8,15.4,5
small green,23.2,42.6,15.4,5
small green,23.2,42.4,15.2,5
small green,26.6,50,18.2,6
small green,26.8,50.4,18.8,6
small green,34.2,71.2,22,7.2
small green,34.2,71.4,22,7
small green,34.8,71.8,22.6,7
small green,39.8,79.8,27.4,9
small green,26.2,51,17.8,6
small green,25.6,49,17,5
small green,25.6,48.8,17,5
small green,25.4,49.2,17,5
small green,36.8,75.4,24.4,8
small green,36.8,75,24.6,8
small green,36.2,75,24.4,8
small green,36.8,75,24.2,8
small red,57,16.8,11,12.8
small red,70,17.4,11.2,16
small red,70.6,17.6,11.4,16
small red,70,17.6,11,16
small red,70.4,17.8,11.8,16
small red,64.4,16.6,11,14.2
small red,64.6,16.8,11.4,14.2
small red,64.6,16.8,11.2,14.2
small red,64.2,16.8,11,14
small red,71.8,16.4,11.4,16
small red,71.8,16.8,11.4,16
small red,71.8,16.8,11.2,16
small red,62.6,17.6,12,14
small red,62.2,17.2,12,14
small red,62.8,17.8,11.8,14
small red,62.2,17,11.6,14
small red,60.2,16.2,10.8,13.4
small red,60.4,16.4,11.2,13.4
small red,60.8,16.6,11.2,13.4
small red,72.2,17.6,11.6,16
small red,72.4,17.8,12,16
small white,137.6,169.8,109,31
small white,137.8,169.6,108.8,31
small white,119.4,150.8,93,27
small white,119.6,150,93.2,27
small white,122.8,153.4,91.6,27.4
small white,123.4,153.4,91.4,27.6
